# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-1.5456, 17.8819, -28.2058, 174.0787, 243.0787, -8.8819, 285.2792, -22.4457, -50.9008, -70.5898
-1.4568, 17.8426, -28.1280, 174.0446, 243.0446, -8.8426, 285.2014, -22.4403, -50.8972, -70.5732
-1.3555, 17.7897, -28.0462, 174.0078, 243.0078, -8.7897, 285.1196, -22.4350, -50.8922, -70.5650
-1.2705, 17.6611, -27.9502, 173.9319, 242.9319, -8.6611, 285.0236, -22.3609, -50.9408, -70.6053
-1.1896, 17.6274, -27.8764, 173.8716, 242.8716, -8.6274, 284.9498, -22.3567, -50.9669, -70.5843
-1.1043, 17.5736, -27.8003, 173.8359, 242.8359, -8.5736, 284.8738, -22.3414, -50.9687, -70.5801
-1.0136, 17.4864, -27.7029, 173.7665, 242.7665, -8.4864, 284.7763, -22.2959, -51.0049, -70.5871
-0.9198, 17.3998, -27.6108, 173.6750, 242.6750, -8.3998, 284.6843, -22.2592, -51.0620, -70.5951
-0.8154, 17.3678, -27.5435, 173.5952, 242.5952, -8.3678, 284.6170, -22.2839, -51.0974, -70.5754
-0.7211, 17.2854, -27.4515, 173.5125, 242.5125, -8.2854, 284.5250, -22.2502, -51.1455, -70.5807
-0.6282, 17.1898, -27.3436, 173.4747, 242.4747, -8.1898, 284.4171, -22.1922, -51.1511, -70.5908
-0.5262, 17.1393, -27.2716, 173.4295, 242.4295, -8.1393, 284.3451, -22.1983, -51.1557, -70.5859
-0.4326, 17.0556, -27.1762, 173.3632, 242.3632, -8.0556, 284.2496, -22.1599, -51.1886, -70.5916
-0.3371, 16.9688, -27.0770, 173.2856, 242.2856, -7.9688, 284.1505, -22.1194, -51.2325, -70.5967
-0.2472, 16.8976, -26.9936, 173.2403, 242.2403, -7.8976, 284.0671, -22.0937, -51.2454, -70.6013
-0.1404, 16.8274, -26.9293, 173.1527, 242.1527, -7.8274, 284.0027, -22.1021, -51.2927, -70.6132
-0.0545, 16.7243, -26.8022, 173.1099, 242.1099, -7.7243, 283.8756, -22.0190, -51.3092, -70.6174
0.0332, 16.6671, -26.7275, 173.0593, 242.0593, -7.6671, 283.8009, -22.0074, -51.3273, -70.6155
0.1441, 16.5977, -26.6526, 173.0316, 242.0316, -7.5977, 283.7261, -22.0077, -51.3138, -70.6257
0.2410, 16.4834, -26.5416, 172.8993, 241.8993, -7.4834, 283.6150, -21.9479, -51.4164, -70.6410
0.3276, 16.4355, -26.4515, 172.8846, 241.8846, -7.4355, 283.5250, -21.9261, -51.3990, -70.6256
0.4199, 16.3669, -26.3795, 172.8339, 241.8339, -7.3669, 283.4530, -21.9146, -51.4173, -70.6346
0.5063, 16.2737, -26.3003, 172.7411, 241.7411, -7.2737, 283.3738, -21.8809, -51.4831, -70.6553
0.5946, 16.2082, -26.2035, 172.6555, 241.6555, -7.2082, 283.2770, -21.8510, -51.5382, -70.6439
0.6809, 16.1492, -26.1159, 172.6089, 241.6089, -7.1492, 283.1894, -21.8275, -51.5546, -70.6362
0.7816, 16.0961, -26.0284, 172.5966, 241.5966, -7.0961, 283.1018, -21.8175, -51.5303, -70.6269
0.8611, 15.9888, -25.9224, 172.5050, 241.5050, -6.9888, 282.9959, -21.7487, -51.6010, -70.6428
0.9459, 15.9525, -25.8512, 172.4522, 241.4522, -6.9525, 282.9247, -21.7512, -51.6218, -70.6262
1.0349, 15.8916, -25.7852, 172.3907, 241.3907, -6.8916, 282.8586, -21.7480, -51.6525, -70.6317
1.1259, 15.7963, -25.6838, 172.3622, 241.3622, -6.7963, 282.7572, -21.6950, -51.6547, -70.6463
1.2195, 15.7452, -25.5911, 172.3748, 241.3748, -6.7452, 282.6645, -21.6737, -51.6096, -70.6342
1.3164, 15.6591, -25.4994, 172.2283, 241.2283, -6.6591, 282.5729, -21.6507, -51.7254, -70.6375
1.3988, 15.5854, -25.4093, 172.1588, 241.1588, -6.5854, 282.4828, -21.6161, -51.7698, -70.6381
1.4840, 15.5048, -25.3419, 172.1081, 241.1081, -6.5048, 282.4154, -21.5966, -51.7947, -70.6593
1.5851, 15.4572, -25.2704, 172.0923, 241.0923, -6.4572, 282.3438, -21.6041, -51.7743, -70.6548
1.6741, 15.3469, -25.1456, 172.0406, 241.0407, -6.3469, 282.2190, -21.5247, -51.8045, -70.6654
1.7631, 15.2693, -25.0403, 171.9942, 240.9942, -6.2693, 282.1137, -21.4798, -51.8251, -70.6620
1.8560, 15.2019, -24.9811, 171.9202, 240.9202, -6.2019, 282.0545, -21.4845, -51.8686, -70.6758
1.9622, 15.1251, -24.8935, 171.8130, 240.8130, -6.1251, 281.9669, -21.4766, -51.9416, -70.6775
2.0610, 15.0163, -24.7634, 171.7848, 240.7848, -6.0163, 281.8368, -21.4010, -51.9456, -70.6859
2.1588, 14.9553, -24.6873, 171.7217, 240.7217, -5.9553, 281.7607, -21.3997, -51.9764, -70.6855
2.2540, 14.8489, -24.5834, 171.6646, 240.6646, -5.8489, 281.6568, -21.3466, -52.0100, -70.7051
2.3506, 14.7886, -24.4900, 171.6501, 240.6501, -5.7886, 281.5635, -21.3258, -51.9943, -70.6978
2.4475, 14.7366, -24.4044, 171.5884, 240.5884, -5.7366, 281.4778, -21.3216, -52.0240, -70.6846
2.5376, 14.6188, -24.2963, 171.4533, 240.4533, -5.6188, 281.3697, -21.2634, -52.1395, -70.7043
2.6306, 14.5361, -24.2144, 171.3779, 240.3779, -5.5361, 281.2878, -21.2428, -52.1889, -70.7166
2.7246, 14.4910, -24.1322, 171.3442, 240.3442, -5.4910, 281.2056, -21.2401, -52.1916, -70.7023
2.8195, 14.4222, -24.0260, 171.2890, 240.2890, -5.4222, 281.0994, -21.2080, -52.2198, -70.6907
2.9131, 14.3382, -23.9467, 171.2749, 240.2749, -5.3382, 281.0202, -21.1822, -52.2090, -70.7108
3.0065, 14.2526, -23.8546, 171.1901, 240.1901, -5.2526, 280.9280, -21.1539, -52.2692, -70.7186
3.1010, 14.2035, -23.7610, 171.1534, 240.1534, -5.2035, 280.8344, -21.1410, -52.2767, -70.7003
3.1849, 14.0958, -23.6505, 171.0451, 240.0451, -5.0958, 280.7239, -21.0799, -52.3687, -70.7127
3.2711, 14.0262, -23.5720, 171.0610, 240.0610, -5.0262, 280.6455, -21.0531, -52.3303, -70.7241
3.3625, 13.9952, -23.4959, 171.0164, 240.0164, -4.9952, 280.5694, -21.0633, -52.3439, -70.7012
3.4554, 13.9087, -23.4141, 170.9371, 239.9371, -4.9087, 280.4876, -21.0426, -52.3995, -70.7163
3.5552, 13.7922, -23.2899, 170.8614, 239.8614, -4.7922, 280.3634, -20.9765, -52.4558, -70.7305
3.6369, 13.7473, -23.2290, 170.7772, 239.7772, -4.7473, 280.3025, -20.9879, -52.5142, -70.7243
3.7358, 13.7025, -23.1359, 170.7863, 239.7864, -4.7025, 280.2093, -20.9765, -52.4751, -70.7068
3.8162, 13.5675, -23.0040, 170.6907, 239.6907, -4.5675, 280.0774, -20.8791, -52.5634, -70.7292
3.9098, 13.5086, -22.9499, 170.6142, 239.6142, -4.5086, 280.0234, -20.8981, -52.6112, -70.7391
3.9916, 13.4448, -22.8529, 170.5475, 239.5475, -4.4448, 279.9264, -20.8678, -52.6581, -70.7279
4.0838, 13.4009, -22.7869, 170.5204, 239.5204, -4.4009, 279.8604, -20.8781, -52.6565, -70.7228
4.1801, 13.3018, -22.6832, 170.4582, 239.4582, -4.3018, 279.7567, -20.8348, -52.6989, -70.7365
4.2658, 13.2206, -22.5795, 170.3799, 239.3799, -4.2206, 279.6529, -20.7949, -52.7592, -70.7342
4.3416, 13.1302, -22.4921, 170.3777, 239.3777, -4.1302, 279.5655, -20.7424, -52.7492, -70.7552
4.4222, 13.0665, -22.4266, 170.3259, 239.3259, -4.0665, 279.5000, -20.7349, -52.7806, -70.7640
4.5103, 12.9939, -22.3412, 170.2836, 239.2836, -3.9939, 279.4147, -20.7120, -52.8024, -70.7689
4.5910, 12.9190, -22.2612, 170.2009, 239.2009, -3.9190, 279.3346, -20.6913, -52.8673, -70.7754
4.6736, 12.8701, -22.2009, 170.1539, 239.1539, -3.8701, 279.2743, -20.6982, -52.8909, -70.7759
4.7485, 12.7857, -22.1175, 170.1020, 239.1020, -3.7857, 279.1910, -20.6597, -52.9299, -70.7904
4.8309, 12.7449, -22.0454, 170.1091, 239.1091, -3.7449, 279.1189, -20.6534, -52.9000, -70.7819
4.9148, 12.6441, -21.9355, 170.0186, 239.0186, -3.6441, 279.0089, -20.5988, -52.9784, -70.7906
4.9972, 12.5711, -21.8794, 169.9785, 238.9785, -3.5711, 278.9529, -20.5942, -52.9993, -70.8135
5.0897, 12.5024, -21.8173, 169.9003, 238.9003, -3.5024, 278.8908, -20.6028, -53.0533, -70.8263
5.1818, 12.4769, -21.6706, 169.9740, 238.9740, -3.4769, 278.7441, -20.5442, -52.9580, -70.7667
5.2719, 12.3740, -21.5610, 169.8268, 238.8268, -3.3740, 278.6344, -20.5044, -53.0908, -70.7727
5.3528, 12.2627, -21.4860, 169.7119, 238.7119, -3.2627, 278.5595, -20.4740, -53.1944, -70.8086
