# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-1.7686, 16.1401, -7.2124, 160.4353, 229.4353, -7.1401, 264.2858, 13.4200, 65.6120, -69.2890
-1.6165, 16.0332, -7.3759, 160.6141, 229.6141, -7.0332, 264.4494, 13.4197, 65.4265, -69.3132
-1.4605, 15.9077, -7.5748, 160.5809, 229.5809, -6.9077, 264.6482, 13.3622, 65.4485, -69.3300
-1.2896, 15.7938, -7.7280, 160.7219, 229.7219, -6.7938, 264.8014, 13.3814, 65.3023, -69.3375
-1.1312, 15.6949, -7.9388, 160.7393, 229.7393, -6.6949, 265.0122, 13.3395, 65.2788, -69.3859
-0.9565, 15.5277, -8.1312, 160.8333, 229.8333, -6.5277, 265.2047, 13.2929, 65.1732, -69.3749
-0.8000, 15.3897, -8.2912, 161.0406, 230.0406, -6.3897, 265.3646, 13.2790, 64.9589, -69.3755
-0.6240, 15.2943, -8.4425, 160.9206, 229.9206, -6.2943, 265.5160, 13.2907, 65.0768, -69.3753
-0.4406, 15.1551, -8.6095, 161.1923, 230.1923, -6.1551, 265.6829, 13.3051, 64.8014, -69.3820
-0.2942, 15.0450, -8.7801, 161.2633, 230.2633, -6.0450, 265.8535, 13.2754, 64.7265, -69.4012
-0.1494, 14.9046, -9.0003, 161.2833, 230.2833, -5.9046, 266.0738, 13.1822, 64.6989, -69.4261
0.0097, 14.8293, -9.1108, 161.3824, 230.3824, -5.8293, 266.1843, 13.2364, 64.6027, -69.4333
0.1729, 14.7193, -9.2868, 161.4123, 230.4123, -5.7193, 266.3602, 13.2174, 64.5716, -69.4512
0.3212, 14.5864, -9.4841, 161.5670, 230.5670, -5.5864, 266.5576, 13.1595, 64.4134, -69.4772
0.4876, 14.4717, -9.6198, 161.5209, 230.5209, -5.4717, 266.6932, 13.1654, 64.4592, -69.4590
0.6605, 14.3333, -9.7998, 161.7122, 230.7122, -5.3333, 266.8733, 13.1457, 64.2673, -69.4701
0.8453, 14.1955, -9.9866, 161.6995, 230.6995, -5.1955, 267.0600, 13.1204, 64.2800, -69.4687
0.9973, 14.0524, -10.1857, 161.8704, 230.8704, -5.0524, 267.2591, 13.0569, 64.1079, -69.4894
1.1494, 13.9669, -10.3452, 162.0992, 231.0992, -4.9669, 267.4186, 13.0634, 63.8844, -69.5323
1.3030, 13.8272, -10.5031, 162.0626, 231.0626, -4.8272, 267.5766, 13.0215, 63.9204, -69.5120
1.4482, 13.7177, -10.6906, 162.2524, 231.2524, -4.7177, 267.7640, 12.9797, 63.7342, -69.5527
1.5974, 13.6203, -10.8383, 162.1767, 231.1767, -4.6203, 267.9118, 12.9659, 63.8139, -69.5548
1.7703, 13.5235, -10.9726, 162.3357, 231.3357, -4.5235, 268.0461, 13.0006, 63.6620, -69.5654
