# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-6.1695, 22.7302, -32.1137, 173.2202, 242.2202, -13.7302, 289.1871, -24.2842, -53.3816, -69.0084
-6.0974, 22.6639, -32.0799, 173.2996, 242.2996, -13.6639, 289.1534, -24.2871, -53.2725, -69.0478
-6.0354, 22.5960, -32.0150, 173.2650, 242.2650, -13.5960, 289.0885, -24.2509, -53.2791, -69.0603
-5.9678, 22.5304, -31.9537, 173.1940, 242.1940, -13.5304, 289.0271, -24.2233, -53.3196, -69.0700
-5.8979, 22.4682, -31.8896, 173.2157, 242.2157, -13.4682, 288.9631, -24.2004, -53.2668, -69.0832
-5.8258, 22.3924, -31.8359, 173.2503, 242.2503, -13.3924, 288.9094, -24.1799, -53.2017, -69.1145
-5.7595, 22.3267, -31.7631, 173.1768, 242.1768, -13.3267, 288.8365, -24.1418, -53.2451, -69.1172
-5.6883, 22.2531, -31.6983, 173.1702, 242.1701, -13.2531, 288.7718, -24.1118, -53.2209, -69.1368
-5.6162, 22.1928, -31.6595, 173.2061, 242.2061, -13.1928, 288.7330, -24.1124, -53.1551, -69.1647
-5.5455, 22.1415, -31.6086, 173.2628, 242.2628, -13.1415, 288.6820, -24.1078, -53.0680, -69.1800
-5.4743, 22.0415, -31.5069, 173.2009, 242.2009, -13.0415, 288.5803, -24.0310, -53.0982, -69.1938
-5.4062, 21.9597, -31.4426, 173.1513, 242.1513, -12.9597, 288.5161, -23.9926, -53.1192, -69.2165
-5.3438, 21.9064, -31.3968, 173.1956, 242.1956, -12.9064, 288.4703, -23.9827, -53.0488, -69.2354
-5.2717, 21.8656, -31.3594, 173.1674, 242.1674, -12.8656, 288.4329, -23.9945, -53.0465, -69.2432
-5.2036, 21.7845, -31.2793, 173.1994, 242.1994, -12.7845, 288.3528, -23.9453, -52.9856, -69.2628
-5.1425, 21.7140, -31.2320, 173.1814, 242.1814, -12.7140, 288.3054, -23.9214, -52.9789, -69.2892
-5.0788, 21.6665, -31.1866, 173.1466, 242.1466, -12.6665, 288.2600, -23.9149, -52.9869, -69.2971
-5.0168, 21.6136, -31.1426, 173.1543, 242.1543, -12.6136, 288.2160, -23.9054, -52.9538, -69.3137
-4.9522, 21.5533, -31.0717, 173.1159, 242.1159, -12.5533, 288.1452, -23.8717, -52.9644, -69.3163
-4.8845, 21.4922, -31.0163, 173.1818, 242.1818, -12.4922, 288.0898, -23.8541, -52.8708, -69.3374
-4.8199, 21.4185, -30.9624, 173.1794, 242.1794, -12.4185, 288.0359, -23.8263, -52.8476, -69.3639
-4.7540, 21.3460, -30.9008, 173.1293, 242.1293, -12.3460, 287.9743, -23.7939, -52.8710, -69.3807
-4.6775, 21.2961, -30.8484, 173.1163, 242.1163, -12.2961, 287.9219, -23.7924, -52.8522, -69.3881
-4.6116, 21.2093, -30.7639, 173.0944, 242.0944, -12.2093, 287.8373, -23.7333, -52.8473, -69.4050
-4.5448, 21.1597, -30.7187, 173.1352, 242.1352, -12.1597, 287.7921, -23.7293, -52.7797, -69.4210
-4.4864, 21.0863, -30.6685, 173.0922, 242.0922, -12.0863, 287.7419, -23.6987, -52.8002, -69.4460
-4.4187, 21.0393, -30.6333, 173.0793, 242.0793, -12.0393, 287.7068, -23.7047, -52.7863, -69.4614
-4.3598, 20.9468, -30.5583, 173.0822, 242.0822, -11.9468, 287.6317, -23.6434, -52.7611, -69.4906
-4.2882, 20.9085, -30.5123, 173.0451, 242.0451, -11.9085, 287.5858, -23.6496, -52.7687, -69.4906
-4.2192, 20.8360, -30.4370, 173.0785, 242.0785, -11.8360, 287.5105, -23.6094, -52.7080, -69.5063
-4.1533, 20.7607, -30.3730, 173.0461, 242.0461, -11.7607, 287.4464, -23.5736, -52.7150, -69.5254
-4.0812, 20.6992, -30.3331, 173.0315, 242.0315, -11.6992, 287.4065, -23.5712, -52.7021, -69.5494
-4.0074, 20.6187, -30.2534, 173.0720, 242.0720, -11.6187, 287.3269, -23.5269, -52.6331, -69.5695
-3.9371, 20.5684, -30.1969, 173.1234, 242.1234, -11.5684, 287.2704, -23.5159, -52.5539, -69.5801
-3.8641, 20.4905, -30.1339, 173.0761, 242.0761, -11.4905, 287.2073, -23.4859, -52.5737, -69.6007
-3.7956, 20.4289, -30.0826, 173.0331, 242.0331, -11.4289, 287.1561, -23.4712, -52.5906, -69.6156
-3.7310, 20.3609, -30.0120, 173.0288, 242.0288, -11.3609, 287.0855, -23.4333, -52.5702, -69.6273
-3.6558, 20.2964, -29.9539, 173.0978, 242.0978, -11.2964, 287.0274, -23.4164, -52.4729, -69.6498
-3.5864, 20.2323, -29.9035, 173.1020, 242.1020, -11.2323, 286.9770, -23.4012, -52.4429, -69.6712
-3.5183, 20.1538, -29.8464, 173.0769, 242.0769, -11.1538, 286.9198, -23.3710, -52.4436, -69.6976
-3.4616, 20.0690, -29.7553, 173.0305, 242.0306, -11.0690, 286.8288, -23.2998, -52.4693, -69.7070
-3.3895, 20.0274, -29.7139, 173.0461, 242.0461, -11.0274, 286.7873, -23.3075, -52.4260, -69.7168
-3.3249, 19.9630, -29.6710, 173.0311, 242.0311, -10.9630, 286.7445, -23.2939, -52.4179, -69.7412
-3.2502, 19.9090, -29.6292, 173.0213, 242.0213, -10.9090, 286.7026, -23.2966, -52.3999, -69.7585
-3.1865, 19.8268, -29.5427, 173.0530, 242.0530, -10.8268, 286.6162, -23.2358, -52.3457, -69.7752
-3.1223, 19.7737, -29.4884, 172.9944, 241.9944, -10.7737, 286.5619, -23.2203, -52.3802, -69.7801
-3.0612, 19.7156, -29.4317, 172.9998, 241.9998, -10.7156, 286.5051, -23.1958, -52.3528, -69.7931
-2.9931, 19.6382, -29.4009, 173.0084, 242.0084, -10.6382, 286.4744, -23.1870, -52.3218, -69.8372
-2.9162, 19.5853, -29.3369, 172.9703, 241.9703, -10.5853, 286.4104, -23.1751, -52.3308, -69.8380
