# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
15.4824, 1.9363, -23.9789, 164.2483, 233.2483, 7.0637, 281.0524, 9.7965, 59.7745, -69.6374
15.6555, 1.7437, -24.1855, 164.3458, 233.3458, 7.2563, 281.2589, 9.6813, 59.7030, -69.6342
15.8309, 1.6359, -24.2964, 164.3731, 233.3731, 7.3641, 281.3698, 9.7071, 59.6760, -69.6272
16.0058, 1.4789, -24.4759, 164.4467, 233.4467, 7.5211, 281.5494, 9.6409, 59.6217, -69.6315
16.2185, 1.3255, -24.6442, 164.5033, 233.5033, 7.6745, 281.7176, 9.6277, 59.5760, -69.6297
16.4048, 1.1317, -24.8512, 164.6052, 233.6052, 7.8683, 281.9246, 9.5230, 59.5025, -69.6262
16.5898, 0.9826, -25.0195, 164.6596, 233.6596, 8.0174, 282.0929, 9.4839, 59.4653, -69.6275
16.7924, 0.8448, -25.1684, 164.7314, 233.7314, 8.1552, 282.2419, 9.4806, 59.4040, -69.6262
16.9827, 0.6548, -25.3836, 164.7917, 233.7917, 8.3452, 282.4570, 9.3846, 59.3753, -69.6277
17.1769, 0.5020, -25.5369, 164.8196, 233.8196, 8.4980, 282.6104, 9.3687, 59.3622, -69.6144
17.3505, 0.3141, -25.7584, 164.9834, 233.9834, 8.6859, 282.8319, 9.2291, 59.2391, -69.6297
17.5496, 0.1743, -25.9152, 164.9431, 233.9431, 8.8257, 282.9887, 9.2393, 59.2929, -69.6231
17.7719, 0.0128, -26.0828, 165.0435, 234.0435, 8.9872, 283.1563, 9.2199, 59.2115, -69.6183
17.9561, -0.1730, -26.3064, 165.1234, 234.1234, 9.1730, 283.3798, 9.1091, 59.1722, -69.6299
18.1749, -0.2888, -26.4646, 165.1949, 234.1949, 9.2888, 283.5380, 9.1286, 59.1151, -69.6512
18.3968, -0.4890, -26.6742, 165.3286, 234.3286, 9.4890, 283.7476, 9.0442, 59.0183, -69.6471
18.5946, -0.6644, -26.8672, 165.4233, 234.4233, 9.6644, 283.9406, 8.9718, 58.9581, -69.6478
18.7928, -0.8671, -27.0775, 165.5698, 234.5698, 9.8671, 284.1510, 8.8567, 58.8559, -69.6433
19.0200, -1.0259, -27.2488, 165.7510, 234.7510, 10.0259, 284.3223, 8.8186, 58.7034, -69.6493
19.2410, -1.2055, -27.4451, 165.7664, 234.7664, 10.2055, 284.5185, 8.7838, 58.7211, -69.6428
19.4647, -1.3707, -27.6649, 165.7502, 234.7501, 10.3707, 284.7383, 8.7525, 58.7742, -69.6599
19.6677, -1.5578, -27.8482, 165.8444, 234.8444, 10.5578, 284.9216, 8.6838, 58.7188, -69.6455
19.8562, -1.7502, -28.0577, 165.9318, 234.9318, 10.7502, 285.1312, 8.5794, 58.6805, -69.6436
19.9841, -1.9281, -28.2177, 166.1253, 235.1253, 10.9281, 285.2911, 8.4296, 58.5363, -69.6287
19.9991, -2.0290, -28.3426, 166.1010, 235.1010, 11.0290, 285.4160, 8.2968, 58.6007, -69.6320
20.0008, -2.0411, -28.3572, 166.1107, 235.1107, 11.0411, 285.4306, 8.2777, 58.5962, -69.6332
