# Joint_B_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
0.5168, -12.2348, 11.6132, 167.1885, 236.1885, 21.2348, 245.4603, 2.7852, -60.7301, -71.9013
0.6930, -12.4166, 11.8491, 167.1256, 236.1256, 21.4166, 245.2243, 2.8881, -60.8266, -71.9330
0.8934, -12.5403, 12.0038, 166.9726, 235.9726, 21.5403, 245.0697, 2.8584, -61.0064, -71.9473
1.0850, -12.6745, 12.2133, 167.0212, 236.0212, 21.6745, 244.8601, 2.9060, -60.9888, -71.9614
1.2652, -12.7737, 12.4162, 167.1372, 236.1372, 21.7737, 244.6573, 2.9486, -60.9002, -71.9552
1.4511, -12.9015, 12.5830, 167.1044, 236.1044, 21.9015, 244.4904, 2.9557, -60.9629, -71.9779
1.6167, -13.0490, 12.8543, 167.0916, 236.0916, 22.0490, 244.2191, 3.0856, -61.0114, -71.9668
1.7833, -13.1218, 12.9905, 167.1771, 236.1771, 22.1218, 244.0829, 3.0700, -60.9493, -71.9686
1.9701, -13.2378, 13.1649, 167.0514, 236.0514, 22.2378, 243.9085, 3.0671, -61.1051, -71.9688
2.1665, -13.3908, 13.4659, 167.2535, 236.2535, 22.3908, 243.6076, 3.2134, -60.9474, -71.9671
2.3418, -13.4930, 13.5937, 167.2074, 236.2074, 22.4930, 243.4798, 3.1829, -61.0216, -71.9864
2.5225, -13.6438, 13.8448, 167.2036, 236.2036, 22.6438, 243.2286, 3.2813, -61.0669, -71.9890
2.7294, -13.7608, 14.0740, 167.2889, 236.2889, 22.7608, 242.9995, 3.3255, -61.0211, -71.9820
2.9149, -13.8753, 14.2215, 167.1567, 236.1567, 22.8753, 242.8520, 3.2966, -61.1858, -71.9939
3.0863, -14.0261, 14.4577, 167.1947, 236.1948, 23.0261, 242.6158, 3.3961, -61.1915, -72.0080
3.2678, -14.1228, 14.6259, 167.2244, 236.2244, 23.1228, 242.4475, 3.3984, -61.1959, -72.0091
3.4414, -14.2536, 14.8386, 167.2700, 236.2700, 23.2536, 242.2349, 3.4662, -61.1922, -72.0185
3.5934, -14.4053, 15.0841, 167.1533, 236.1533, 23.4053, 241.9893, 3.5753, -61.3534, -72.0144
3.7586, -14.4507, 15.2423, 167.3430, 236.3430, 23.4507, 241.8312, 3.5813, -61.1929, -71.9912
3.9208, -14.5653, 15.4082, 167.4068, 236.4068, 23.5653, 241.6652, 3.6157, -61.1677, -72.0119
4.1014, -14.6756, 15.5692, 167.3257, 236.3257, 23.6756, 241.5043, 3.6046, -61.2863, -72.0181
4.2917, -14.8144, 15.7947, 167.3800, 236.3800, 23.8144, 241.2787, 3.6707, -61.2815, -72.0287
4.4684, -14.9725, 16.0303, 167.4363, 236.4363, 23.9725, 241.0432, 3.7698, -61.2786, -72.0510
4.6516, -15.0774, 16.2468, 167.4728, 236.4728, 24.0774, 240.8266, 3.8166, -61.2873, -72.0354
4.8261, -15.1939, 16.3864, 167.3464, 236.3464, 24.1939, 240.6870, 3.7884, -61.4523, -72.0536
5.0115, -15.2907, 16.5845, 167.4638, 236.4638, 24.2907, 240.4889, 3.8246, -61.3802, -72.0477
5.1935, -15.4304, 16.8091, 167.5004, 236.5004, 24.4304, 240.2644, 3.8965, -61.3973, -72.0580
5.3490, -15.5577, 17.0038, 167.5468, 236.5468, 24.5577, 240.0697, 3.9677, -61.3996, -72.0735
5.5182, -15.6644, 17.1994, 167.4989, 236.4989, 24.6644, 239.8740, 3.9988, -61.4930, -72.0623
5.7146, -15.7436, 17.3249, 167.5276, 236.5276, 24.7436, 239.7486, 3.9388, -61.5027, -72.0698
5.8878, -15.8643, 17.5978, 167.6565, 236.6565, 24.8643, 239.4756, 4.0671, -61.4339, -72.0478
6.0456, -16.0138, 17.7946, 167.5681, 236.5681, 25.0138, 239.2788, 4.1245, -61.5756, -72.0690
6.2108, -16.0721, 17.9504, 167.7299, 236.7299, 25.0721, 239.1230, 4.1365, -61.4540, -72.0555
6.3804, -16.2275, 18.1312, 167.6821, 236.6821, 25.2275, 238.9423, 4.1765, -61.5575, -72.0935
6.5522, -16.3151, 18.2914, 167.7013, 236.7013, 25.3151, 238.7821, 4.1749, -61.5828, -72.0898
6.7184, -16.4344, 18.4658, 167.6931, 236.6931, 25.4344, 238.6076, 4.2020, -61.6419, -72.1037
6.8893, -16.5609, 18.7060, 167.7892, 236.7892, 25.5609, 238.3675, 4.3024, -61.6086, -72.1002
7.0479, -16.6460, 18.8908, 167.8081, 236.8081, 25.6460, 238.1826, 4.3346, -61.6376, -72.0820
7.2185, -16.7818, 19.0807, 167.8015, 236.8015, 25.7818, 237.9927, 4.3779, -61.7024, -72.1024
7.3885, -16.8885, 19.2669, 167.8123, 236.8123, 25.8885, 237.8066, 4.4074, -61.7454, -72.1013
7.5674, -17.0079, 19.4536, 167.9141, 236.9141, 26.0079, 237.6199, 4.4514, -61.7033, -72.1191
7.7396, -17.1015, 19.6025, 167.8828, 236.8828, 26.1015, 237.4710, 4.4320, -61.7821, -72.1216
7.9141, -17.2084, 19.8324, 167.9906, 236.9906, 26.2084, 237.2410, 4.5131, -61.7387, -72.1075
8.1404, -17.3013, 20.0389, 168.0753, 237.0753, 26.3013, 237.0345, 4.5073, -61.7173, -72.0910
8.3593, -17.4873, 20.2583, 168.0163, 237.0163, 26.4873, 236.8152, 4.5355, -61.8549, -72.1349
8.5355, -17.6337, 20.5554, 168.1154, 237.1155, 26.6337, 236.5180, 4.6894, -61.8396, -72.1201
8.7091, -17.7356, 20.6997, 168.1687, 237.1687, 26.7356, 236.3738, 4.6850, -61.8407, -72.1399
8.8761, -17.8630, 20.9278, 168.1212, 237.1212, 26.8630, 236.1456, 4.7496, -61.9565, -72.1301
9.0527, -17.9787, 21.1297, 168.1709, 237.1709, 26.9787, 235.9438, 4.7965, -61.9736, -72.1323
9.2285, -18.0811, 21.2882, 168.2608, 237.2608, 27.0811, 235.7853, 4.8099, -61.9434, -72.1487
9.4390, -18.2073, 21.4683, 168.2254, 237.2254, 27.2073, 235.6051, 4.7875, -62.0462, -72.1631
9.6368, -18.3486, 21.7216, 168.3271, 237.3271, 27.3486, 235.3519, 4.8789, -62.0299, -72.1663
9.8354, -18.4802, 22.0065, 168.4315, 237.4315, 27.4802, 235.0669, 4.9925, -62.0155, -72.1454
10.0731, -18.5720, 22.1645, 168.4917, 237.4917, 27.5720, 234.9090, 4.9268, -62.0207, -72.1501
10.2551, -18.7189, 22.3749, 168.3947, 237.3947, 27.7189, 234.6986, 4.9545, -62.1931, -72.1616
10.4313, -18.8877, 22.6759, 168.5588, 237.5588, 27.8877, 234.3976, 5.1378, -62.1329, -72.1700
10.5943, -18.9604, 22.8010, 168.5712, 237.5711, 27.9604, 234.2725, 5.1042, -62.1709, -72.1705
10.7539, -19.0769, 22.9847, 168.6792, 237.6792, 28.0769, 234.0888, 5.1683, -62.1354, -72.1879
10.9230, -19.1927, 23.1717, 168.6463, 237.6463, 28.1927, 233.9017, 5.1893, -62.2379, -72.1902
11.1076, -19.2992, 23.3743, 168.6975, 237.6975, 28.2992, 233.6991, 5.2230, -62.2624, -72.1844
11.2970, -19.4006, 23.5644, 168.8132, 237.8132, 28.4006, 233.5091, 5.2551, -62.2227, -72.1863
11.4627, -19.5549, 23.7890, 168.8118, 237.8118, 28.5549, 233.2844, 5.3370, -62.3115, -72.2056
11.6341, -19.6465, 23.9725, 168.9261, 237.9261, 28.6465, 233.1010, 5.3783, -62.2701, -72.2024
11.7998, -19.7638, 24.1373, 168.9170, 237.9170, 28.7638, 232.9362, 5.3896, -62.3493, -72.2193
11.9791, -19.8717, 24.3357, 168.9356, 237.9356, 28.8717, 232.7378, 5.4169, -62.4083, -72.2137
12.1263, -19.9577, 24.4663, 168.9219, 237.9219, 28.9577, 232.6071, 5.4030, -62.4783, -72.2206
12.2827, -20.0736, 24.7181, 169.0823, 238.0823, 29.0736, 232.3553, 5.5422, -62.4125, -72.2080
12.4563, -20.1762, 24.8652, 169.1135, 238.1135, 29.1762, 232.2083, 5.5330, -62.4500, -72.2249
12.6180, -20.2374, 25.0452, 169.2358, 238.2358, 29.2374, 232.0282, 5.5707, -62.3973, -72.1980
12.7604, -20.3731, 25.2090, 169.1887, 238.1887, 29.3731, 231.8644, 5.6029, -62.5182, -72.2277
12.9480, -20.4583, 25.3734, 169.2442, 238.2442, 29.4583, 231.7001, 5.5913, -62.5353, -72.2232
13.1234, -20.5781, 25.5433, 169.2403, 238.2403, 29.5781, 231.5301, 5.5967, -62.6171, -72.2402
13.2926, -20.7075, 25.7995, 169.3064, 238.3064, 29.7075, 231.2739, 5.7054, -62.6523, -72.2283
13.4833, -20.8084, 26.0059, 169.4090, 238.4090, 29.8084, 231.0676, 5.7463, -62.6393, -72.2205
13.6542, -20.9317, 26.1830, 169.4790, 238.4790, 29.9317, 230.8904, 5.7851, -62.6551, -72.2436
13.8125, -21.0600, 26.3729, 169.5352, 238.5352, 30.0600, 230.7005, 5.8466, -62.6874, -72.2633
13.9953, -21.1626, 26.5884, 169.5467, 238.5467, 30.1626, 230.4850, 5.8773, -62.7651, -72.2440
14.1552, -21.2731, 26.7848, 169.7470, 238.7470, 30.2731, 230.2886, 5.9776, -62.6599, -72.2583
14.3108, -21.3896, 26.9847, 169.7311, 238.7311, 30.3896, 230.0887, 6.0227, -62.7622, -72.2563
14.4980, -21.4520, 27.0891, 169.7586, 238.7586, 30.4520, 229.9844, 5.9416, -62.7935, -72.2598
