# Joint_A_Angle(deg), Cam_X(mm), Cam_Y(mm), Cam_Z(mm), Torso_X(mm), Torso_Y(mm), Torso_Z(mm), EE_X(mm), EE_Y(mm), EE_Z(mm)
-10.9593, -3.3240, -0.6912, 165.2632, 234.2633, 12.3240, 257.7647, -0.3462, -59.1347, -71.3559
-10.8037, -3.4973, -0.4859, 165.3056, 234.3056, 12.4973, 257.5594, -0.2482, -59.1127, -71.3893
-10.6436, -3.5795, -0.3391, 165.3686, 234.3686, 12.5795, 257.4126, -0.2535, -59.0807, -71.3751
-10.4860, -3.7388, -0.1583, 165.3600, 234.3600, 12.7388, 257.2318, -0.1789, -59.1148, -71.4049
-10.3318, -3.8131, 0.0139, 165.3645, 234.3645, 12.8131, 257.0596, -0.1533, -59.1364, -71.3672
-10.1566, -3.9853, 0.2132, 165.3751, 234.3751, 12.9853, 256.8603, -0.0768, -59.1562, -71.3985
-10.0031, -4.0590, 0.3533, 165.3896, 234.3896, 13.0590, 256.7202, -0.0797, -59.1734, -71.3773
-9.8376, -4.2055, 0.5684, 165.4448, 234.4448, 13.2055, 256.5050, 0.0030, -59.1453, -71.3828
-9.6790, -4.3480, 0.7616, 165.4331, 234.4331, 13.3480, 256.3118, 0.0787, -59.1850, -71.3916
-9.4992, -4.4543, 0.8701, 165.4268, 234.4268, 13.4543, 256.2033, 0.0414, -59.2373, -71.4104
-9.3327, -4.5856, 1.1111, 165.5389, 234.5389, 13.5856, 255.9623, 0.1313, -59.1523, -71.3941
-9.1560, -4.7463, 1.2699, 165.5175, 234.5175, 13.7463, 255.8035, 0.1698, -59.2146, -71.4333
-8.9583, -4.8797, 1.4866, 165.5337, 234.5337, 13.8797, 255.5868, 0.2181, -59.2399, -71.4207
-8.7814, -5.0056, 1.6343, 165.5495, 234.5495, 14.0056, 255.4392, 0.2251, -59.2676, -71.4386
-8.5931, -5.2191, 1.9156, 165.5966, 234.5966, 14.2191, 255.1578, 0.3767, -59.2555, -71.4656
-8.4076, -5.3337, 2.1457, 165.6762, 234.6762, 14.3337, 254.9277, 0.4346, -59.2149, -71.4363
-8.2314, -5.4709, 2.3174, 165.6513, 234.6513, 14.4709, 254.7560, 0.4716, -59.2830, -71.4486
-8.0525, -5.6777, 2.5412, 165.6325, 234.6325, 14.6777, 254.5323, 0.5863, -59.3433, -71.4947
-7.8823, -5.7657, 2.6986, 165.6915, 234.6915, 14.7657, 254.3749, 0.5861, -59.3279, -71.4790
-7.7016, -5.9396, 2.9374, 165.6766, 234.6766, 14.9396, 254.1361, 0.6943, -59.3845, -71.4894
-7.5210, -6.0524, 3.0987, 165.7919, 234.7919, 15.0524, 253.9747, 0.6955, -59.3184, -71.4966
-7.3514, -6.2160, 3.2851, 165.7461, 234.7461, 15.2160, 253.7883, 0.7672, -59.4088, -71.5232
-7.1760, -6.3820, 3.4703, 165.7157, 234.7157, 15.3820, 253.6031, 0.8315, -59.4870, -71.5530
-7.0095, -6.4846, 3.6232, 165.7784, 234.7784, 15.4846, 253.4502, 0.8392, -59.4711, -71.5529
-6.8216, -6.6057, 3.8245, 165.8265, 234.8265, 15.6057, 253.2489, 0.8768, -59.4739, -71.5410
-6.6606, -6.7515, 4.0953, 165.9022, 234.9022, 15.7515, 252.9781, 1.0128, -59.4361, -71.5203
-6.4817, -6.8971, 4.2565, 165.8663, 234.8663, 15.8971, 252.8169, 1.0427, -59.5259, -71.5439
-6.2747, -7.0552, 4.4559, 165.8582, 234.8582, 16.0552, 252.6176, 1.0807, -59.5958, -71.5585
-6.0979, -7.2039, 4.6685, 165.9088, 234.9088, 16.2039, 252.4050, 1.1537, -59.5967, -71.5660
-5.9254, -7.3287, 4.8333, 165.9411, 234.9411, 16.3287, 252.2401, 1.1790, -59.6175, -71.5760
-5.7685, -7.5308, 5.0531, 165.8781, 234.8781, 16.5308, 252.0204, 1.3104, -59.7287, -71.6185
-5.6063, -7.6236, 5.1436, 165.8693, 234.8693, 16.6236, 251.9299, 1.2673, -59.7921, -71.6360
-5.4297, -7.7736, 5.3676, 165.9422, 234.9422, 16.7736, 251.7059, 1.3505, -59.7735, -71.6408
-5.2482, -7.9151, 5.5273, 165.9449, 234.9449, 16.9151, 251.5461, 1.3712, -59.8313, -71.6644
-5.0733, -8.0440, 5.7310, 165.9420, 234.9420, 17.0440, 251.3425, 1.4301, -59.8897, -71.6552
